wdpaid,lc_2000,lc_2010,areakm2
191,No data,Grassland (2010),0.0009
191,Forest,Forest (2010),2262.879
191,Forest,Ocean (2010),0.5688
191,Forest,Grassland (2010),236.9034
191,Forest,Wetland (2010),0.3699
191,Forest,Water (2010),0.0045
191,Forest,Bare land (2010),136.4184
191,Ocean,Forest (2010),1.5966
191,Ocean,Ocean (2010),66604.8528
191,Ocean,Grassland (2010),2.3832
191,Ocean,Shrubland (2010),0.0108
191,Ocean,Wetland (2010),0.2547
191,Ocean,Water (2010),0.0909
191,Ocean,Bare land (2010),0.8433
191,Grassland,No data (2010),0.0054
191,Grassland,Forest (2010),514.9215
191,Grassland,Ocean (2010),2.1159
191,Grassland,Grassland (2010),855.999
191,Grassland,Shrubland (2010),2.5074
191,Grassland,Wetland (2010),0.1836
191,Grassland,Water (2010),0.0396
191,Grassland,Artificial land (2010),0.0405
191,Grassland,Bare land (2010),43.3845
191,Shrubland,Forest (2010),0.1305
191,Shrubland,Ocean (2010),0.0018
191,Shrubland,Grassland (2010),5.8275
191,Shrubland,Shrubland (2010),963.4599
191,Shrubland,Wetland (2010),0.0027
191,Shrubland,Water (2010),0.2223
191,Shrubland,Bare land (2010),0.2412
191,Wetland,Forest (2010),4.8591
191,Wetland,Ocean (2010),0.0315
191,Wetland,Grassland (2010),0.0234
191,Wetland,Shrubland (2010),0.3861
191,Wetland,Wetland (2010),16.7985
191,Wetland,Water (2010),0.0144
191,Wetland,Artificial land (2010),0.0081
191,Wetland,Bare land (2010),0.27
191,Water,Forest (2010),0.2079
191,Water,Grassland (2010),0.4572
191,Water,Shrubland (2010),0.1818
191,Water,Wetland (2010),0.5373
191,Water,Water (2010),3.2697
191,Water,Bare land (2010),0.117
191,Artificial land,Ocean (2010),0.036
191,Artificial land,Grassland (2010),0.0405
191,Artificial land,Wetland (2010),0.0018
191,Artificial land,Artificial land (2010),3.2895
191,Bare land,Forest (2010),442.1115
191,Bare land,Ocean (2010),1.3356
191,Bare land,Grassland (2010),103.2552
191,Bare land,Shrubland (2010),0.0063
191,Bare land,Wetland (2010),0.0099
191,Bare land,Water (2010),0.0441
191,Bare land,Artificial land (2010),0.0117
191,Bare land,Bare land (2010),2437.371
197,Forest,Forest (2010),573.435
197,Forest,Grassland (2010),0.0018
197,Forest,Shrubland (2010),0.0603
197,Forest,Artificial land (2010),0.7497
197,Grassland,Forest (2010),0.0675
197,Grassland,Grassland (2010),0.0441
197,Grassland,Shrubland (2010),0.0108
197,Grassland,Artificial land (2010),0.0009
197,Shrubland,Forest (2010),0.0009
197,Shrubland,Shrubland (2010),0.0207
197,Artificial land,Forest (2010),0.7533
197,Artificial land,Artificial land (2010),0.8802
2004,Cultivated land,Cultivated land (2010),0.0441
2004,Cultivated land,Forest (2010),0.0027
2004,Cultivated land,Shrubland (2010),0.018
2004,Forest,Cultivated land (2010),0.0009
2004,Forest,Forest (2010),2.6793
2004,Forest,Grassland (2010),0.0909
2004,Forest,Shrubland (2010),0.6246
2004,Forest,Water (2010),0.2322
2004,Grassland,Forest (2010),0.0495
2004,Grassland,Grassland (2010),64.8414
2004,Grassland,Shrubland (2010),1.2024
2004,Grassland,Water (2010),0.1431
2004,Shrubland,Cultivated land (2010),0.0306
2004,Shrubland,Forest (2010),1.0917
2004,Shrubland,Grassland (2010),5.8419
2004,Shrubland,Shrubland (2010),3.8259
2004,Shrubland,Water (2010),0.2124
2004,Wetland,Forest (2010),0.0333
2004,Wetland,Grassland (2010),0.0711
2004,Wetland,Shrubland (2010),0.0594
2004,Wetland,Water (2010),0.036
2004,Water,Forest (2010),0.2376
2004,Water,Grassland (2010),0.2214
2004,Water,Shrubland (2010),0.0999
2004,Water,Wetland (2010),0.0099
2004,Water,Water (2010),2.1717
2005,Permanent ice or snow,Permanent ice or snow (2010),0.3528
2005,Permanent ice or snow,Forest (2010),0.0207
2005,Permanent ice or snow,Tundra (2010),10.3761
2005,Forest,Permanent ice or snow (2010),0.0099
2005,Forest,Forest (2010),1864.2078
2005,Forest,Wetland (2010),12.9483
2005,Forest,Water (2010),3.744
2005,Forest,Tundra (2010),195.7383
2005,Wetland,Forest (2010),2.1879
2005,Wetland,Wetland (2010),8.6013
2005,Wetland,Water (2010),0.738
2005,Wetland,Tundra (2010),2.4453
2005,Water,Forest (2010),5.4684
2005,Water,Wetland (2010),1.9926
2005,Water,Water (2010),45.9387
2005,Water,Tundra (2010),14.6511
2005,Tundra,Permanent ice or snow (2010),5.7663
2005,Tundra,Forest (2010),41.6142
2005,Tundra,Wetland (2010),5.715
2005,Tundra,Water (2010),4.5225
2005,Tundra,Tundra (2010),2626.8975
2006,Cultivated land,Cultivated land (2010),5.9328
2006,Cultivated land,Forest (2010),4.5081
2006,Cultivated land,Grassland (2010),1.3608
2006,Cultivated land,Shrubland (2010),0.0108
2006,Forest,Cultivated land (2010),0.1503
2006,Forest,Forest (2010),62.9883
2006,Forest,Grassland (2010),8.1297
2006,Forest,Shrubland (2010),0.0063
2006,Grassland,Cultivated land (2010),0.2421
2006,Grassland,Forest (2010),35.7075
2006,Grassland,Grassland (2010),12.4155
2006,Grassland,Shrubland (2010),0.2556
2006,Shrubland,Forest (2010),0.0297
2006,Shrubland,Grassland (2010),0.0144
2007,Permanent ice or snow,Permanent ice or snow (2010),79.5555
2007,Permanent ice or snow,Forest (2010),0.0072
2007,Permanent ice or snow,Water (2010),0.0009
2007,Permanent ice or snow,Bare land (2010),0.5256
2007,Forest,Permanent ice or snow (2010),0.0009
2007,Forest,Forest (2010),24.9129
2007,Forest,Grassland (2010),6.7149
2007,Forest,Shrubland (2010),3.3624
2007,Forest,Water (2010),0.0405
2007,Forest,Artificial land (2010),0.0009
2007,Forest,Bare land (2010),3.2994
2007,Grassland,Forest (2010),0.5328
2007,Grassland,Grassland (2010),222.093
2007,Grassland,Shrubland (2010),13.9068
2007,Grassland,Water (2010),0.0432
2007,Grassland,Artificial land (2010),0.0036
2007,Grassland,Bare land (2010),20.2959
2007,Shrubland,Forest (2010),3.7431
2007,Shrubland,Grassland (2010),19.3473
2007,Shrubland,Shrubland (2010),36.8685
2007,Shrubland,Water (2010),0.0171
2007,Shrubland,Artificial land (2010),0.0018
2007,Shrubland,Bare land (2010),0.4293
2007,Water,Permanent ice or snow (2010),0.0009
2007,Water,Forest (2010),0.0018
2007,Water,Grassland (2010),0.3474
2007,Water,Shrubland (2010),0.0108
2007,Water,Water (2010),4.6899
2007,Water,Bare land (2010),0.5238
2007,Artificial land,Forest (2010),0.0009
2007,Artificial land,Grassland (2010),0.009
2007,Artificial land,Shrubland (2010),0.0027
2007,Artificial land,Artificial land (2010),0.0882
2007,Bare land,Permanent ice or snow (2010),1.251
2007,Bare land,Forest (2010),9.0792
2007,Bare land,Grassland (2010),166.1706
2007,Bare land,Shrubland (2010),6.1938
2007,Bare land,Water (2010),0.7713
2007,Bare land,Artificial land (2010),0.0063
2007,Bare land,Bare land (2010),515.3868
2008,No data,Cultivated land (2010),0.0171
2008,No data,Forest (2010),0.3465
2008,Cultivated land,No data (2010),0.0162
2008,Cultivated land,Cultivated land (2010),23.4738
2008,Cultivated land,Forest (2010),8.6769
2008,Cultivated land,Grassland (2010),8.5617
2008,Cultivated land,Wetland (2010),0.0306
2008,Cultivated land,Water (2010),0.009
2008,Cultivated land,Artificial land (2010),0.1638
2008,Forest,Cultivated land (2010),6.5097
2008,Forest,Forest (2010),1257.7392
2008,Forest,Grassland (2010),4.248
2008,Forest,Wetland (2010),0.0468
2008,Forest,Water (2010),0.0666
2008,Forest,Artificial land (2010),0.0108
2008,Grassland,Cultivated land (2010),2.6325
2008,Grassland,Forest (2010),4.8078
2008,Grassland,Grassland (2010),123.4944
2008,Grassland,Wetland (2010),0.0189
2008,Grassland,Water (2010),0.0081
2008,Wetland,Cultivated land (2010),0.0396
2008,Wetland,Forest (2010),0.0387
2008,Wetland,Grassland (2010),0.0009
2008,Wetland,Wetland (2010),2.1879
2008,Wetland,Water (2010),0.0081
2008,Water,Cultivated land (2010),0.1764
2008,Water,Forest (2010),0.5472
2008,Water,Grassland (2010),0.0441
2008,Water,Wetland (2010),0.0135
2008,Water,Water (2010),1.485
2008,Artificial land,Cultivated land (2010),0.0333
2008,Artificial land,Artificial land (2010),0.0774
2010,Cultivated land,Cultivated land (2010),64.035
2010,Cultivated land,Forest (2010),5.8815
2010,Cultivated land,Grassland (2010),25.1235
2010,Cultivated land,Shrubland (2010),0.4518
2010,Forest,Cultivated land (2010),22.2363
2010,Forest,Forest (2010),1125.6111
2010,Forest,Grassland (2010),517.455
2010,Forest,Shrubland (2010),13.2795
2010,Forest,Water (2010),0.0045
2010,Grassland,Cultivated land (2010),32.2119
2010,Grassland,Forest (2010),147.519
2010,Grassland,Grassland (2010),6031.8819
2010,Grassland,Shrubland (2010),77.0526
2010,Grassland,Water (2010),0.2016
2010,Shrubland,Cultivated land (2010),0.4716
2010,Shrubland,Forest (2010),10.5273
2010,Shrubland,Grassland (2010),145.0782
2010,Shrubland,Shrubland (2010),11.5506
