wdpaid,year,class,pixels,path_2000_tif,path_2010_tif
191,2000,40,740790,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,-1
191,2000,80,1455,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,-1
191,2000,50,24879,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,-1
191,2000,20,2575489,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,-1
191,2000,90,3087262,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,-1
191,2000,60,5160,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,-1
191,2000,30,1129557,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,-1
191,2000,255,25113647,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,-1
191,2010,40,740709,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2010,80,1482,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2010,50,20176,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2010,20,3230837,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2010,90,2679354,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2010,60,3954,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2010,30,889364,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2010,255,25112363,-1,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,60-60,3492,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
191,2000-2010,255-90,847,D:\Yichuan\NGCC\GLC_v1\Globecover_2000_pub\S15_00_2000LC030\S15_00_2000LC030.tif,D:\Yichuan\NGCC\GLC_v1\Globecover_2010_pub\S15_00_2010LC030\S15_00_2010LC030.tif
