oid, id, partcount, pointcount
1,44578212.0,1,1263
2,44578212.0,1,1263
3,164105.0,13,3256
4,103674338.0,1,25
5,199504.0,9,608
6,48616920.0,1,4254
7,199854.0,1,597
8,58187.0,1,15
9,58187.0,2,34
10,22727721.0,853,93726
11,162200.0,2,1274
12,193944.0,3,685
13,61501.0,1,84
14,61501.0,1,61
15,67901306.0,9,14661
16,69592021.0,100,358862
17,44857.0,2,5815
18,197429.0,1,3572
19,197429.0,1,5168
20,197429.0,13,1309
21,197429.0,1,735
22,197429.0,1,333
23,197429.0,1,3572
24,197429.0,16,7545
25,44987.0,1,399
26,154018.0,1,2021
27,182562.0,4,11002
28,182562.0,6,3913
29,166803.0,14,1515
30,166803.0,3,904
31,166803.0,992,68593
32,166803.0,3,1020
33,166803.0,1,194
34,166803.0,1,286
35,166803.0,1,130
36,178447.0,10,689
37,154674.0,3,45847
38,14588.0,1,49
39,16206.0,3,114
40,166467.0,1588,96769
41,64021.0,4,8264
42,178713.0,2,684
43,170066.0,37,192978
44,154773.0,1,4302
45,63819.0,14,9010
46,63819.0,1,5406
47,63819.0,1,20
48,63819.0,1,20
49,178108.0,1,13785
50,64317.0,1,31
51,64327.0,1,71
52,133260.0,38,302328
53,56414.0,3,437
54,22736220.0,4,98
55,58013.0,1,567
56,196085.0,15,312
57,47693622.0,1,63
58,64136.0,1,31
59,155522.0,1,359
60,22716588.0,6,661
61,22716588.0,3,227
62,103872996.0,778,31922
63,103872996.0,74,6796
64,13006.0,32,1151320
65,195435.0,7,12055
66,19378668.0,2,1259
67,163661.0,591,47273
68,163661.0,1,38
69,163661.0,3,1155
70,195914.0,1,64
71,14161.0,1,3903
72,103868399.0,1,27
73,103868399.0,1,15
74,103868399.0,20,10314
75,185387.0,2,453
76,60017.0,16,30820
77,56245818.0,1,324
78,135120.0,1,388
79,68318089.0,3,8137
80,60243.0,6,2105
81,56277.0,6,525
82,155127.0,2,13848
83,22706394.0,1507,77811
84,22706394.0,90,43225
85,22706394.0,575,24406
86,197649.0,4,2824
87,197649.0,7,2012
88,199835.0,1,6615
89,54967.0,1,2662
90,60673.0,1,624
91,59911.0,12,14124
92,59911.0,25,47870
93,180488.0,83,376183
94,185862.0,2,7586
95,48442579.0,1,2225
96,192496.0,4,19193
97,58201.0,1,135
98,136634.0,2,56
99,182471.0,2,1111
100,182471.0,2,401
101,41591.0,1,433
102,41591.0,82,87424
103,44854.0,1,150
104,44854.0,1,704
105,181711.0,25,11835
106,181711.0,7,4367
107,56091667.0,1,50
108,56091667.0,1,50
109,56234098.0,1,41
110,56234098.0,1,41
111,57813.0,3,291
112,57813.0,5,34718
113,17028.0,1,1250
114,18473.0,1,911
115,22578.0,1,420
116,22578.0,1,6111
117,22578.0,1,146
118,22578.0,1,389
119,22578.0,1,356
120,22578.0,2,3157
121,22578.0,2,1423
122,22578.0,1,471
123,22578.0,1,2627
124,22578.0,17,14357
125,44665.0,46,5062
126,55229.0,1,33
127,41162.0,9,23705
128,56499118.0,1225,62923
129,158518.0,1,216
130,89904141.0,1,323
131,156623.0,2,815
132,187434.0,1,1837
133,88091221.0,4,438
134,184726.0,1,1006
135,166177.0,1,60
136,166177.0,1,60
137,49254705.0,1,571
138,182374.0,1,931
139,182374.0,2,1017
140,22959.0,3,410
141,15599136.0,25,132502
142,22700700.0,92,7839
143,185173.0,1,5622
144,198758.0,28,1373062
145,87533167.0,23,5224
146,170095.0,17,5134
147,88493011.0,1,188
148,88493011.0,1,193
149,88493011.0,1,193
150,103131180.0,3,1963
151,69584566.0,18,212246
152,153948.0,2,3171
153,21661.0,3,3339
154,18561.0,12,22089
155,61762.0,2,27
156,11171.0,1,60
157,11171.0,1,35
158,11171.0,1,48
159,166106.0,5,8558
160,166106.0,1,422
161,166106.0,1,551
162,22708819.0,963,125699
163,22708819.0,1353,27470
164,22708819.0,2311,118812
165,5826.0,1,361
166,168403.0,1,1670
167,168403.0,1,358
168,167158.0,117,8414
169,167158.0,1,335
170,167158.0,1,290
171,167158.0,1,358
172,167158.0,1,213
173,167158.0,1,551
174,167158.0,1,218
175,88509261.0,1,297
176,88509261.0,1,281
177,88509261.0,1,237
178,88509261.0,1,193
179,88509261.0,1,202
180,88509261.0,1,53
181,176208.0,58,2991
182,173939.0,1,219
183,173939.0,1,442
184,173939.0,1,313
185,173939.0,1,339
186,173939.0,1,238
187,173939.0,1,286
188,181548.0,60,79578
189,181548.0,67,67205
190,183824.0,2,2298
191,200081.0,1,1832
192,170379.0,1,160
193,22689061.0,91,19600
194,22719812.0,32,8704
195,10939.0,2,6012
196,164378.0,1348,133118
197,195051.0,1,675
198,195051.0,1,488
199,193815.0,13,120721
200,167896.0,3588,204744
201,137249.0,1,3289
202,165644.0,5,6710
203,55309.0,1,16
204,167301.0,8,1083
205,58287.0,4,453
206,58107.0,1,40
207,192711.0,4,80576
208,190118.0,23,258197
209,22678486.0,1,706
210,22725930.0,2,9762
211,22697138.0,47,25789
212,22697138.0,4,469
213,22705986.0,897,62674
214,56156550.0,1,52
215,56156550.0,1,52
216,197780.0,561,29248
217,197780.0,9,439
218,169973.0,13,5792
219,49830339.0,2,626
220,49830339.0,2,815
221,169447.0,1,8370
222,169447.0,2,3813
223,202662.0,3,8310
224,202662.0,2,2994
225,22700916.0,8,4976
226,195918.0,2,182
227,189530.0,1,549
228,58238.0,6,831
229,19409.0,1,30
230,156681.0,1,209
231,103897185.0,1,5053
232,103897185.0,3,3421
233,54435.0,1,6278
234,22697661.0,217,12923
235,22697661.0,66,10057
236,157031.0,4,1097
237,157031.0,31,3982
238,163995.0,15212,995689
239,163995.0,598,221484
240,153907.0,4,2495
241,199565.0,4,216
242,197940.0,1,882
243,22707261.0,182,12913
244,157689.0,2,384
245,5484.0,2,139
246,135626.0,2,1278
247,178521.0,12,1451
248,178521.0,7,12029
249,22725321.0,5,2198
250,15521875.0,19,154546
251,55675.0,1,51
252,55675.0,1,25
253,55675.0,1,394
254,183083.0,1,1005
255,202425.0,23,5941
256,202425.0,7,1829
257,202425.0,3,637
258,202425.0,14,50451
259,202425.0,19,44341
260,158838.0,1,4595
261,165706.0,1,10918
262,56252074.0,1,285
263,183961.0,1,135
264,62291168.0,22,3365
265,135022.0,127,3902
266,22701381.0,9,949
267,22717575.0,40,9738
268,157538.0,4,1346
269,15039073.0,1,219
270,167919.0,23,7530
271,68915720.0,4,3849
272,68915720.0,4,3849
273,29440.0,1,1084
274,22719908.0,2,9122
275,67870015.0,32,453575
276,22717687.0,22,3701
277,22724718.0,1,26
278,132869.0,71,316298
279,40087.0,23,26413
280,22696012.0,4,6785
281,57018.0,1,19
